title,author,reviewer,paid review?,editor (internal use),genre,"Author Diversity (1=yes, 0=no)","Gender (1=woman, 0=man)",reviewer link,reviewer ID,isbn,oclc,hide_ibooks,book_seamus_id,tags,genre (internal use),text
The Coloring Book: A Comedian Solves Race Relations in America ,Colin Quinn,Philipp Goedicke,1,Beth,,,0,,,,,,,,,
Thinking About It Only Makes It Worse (And Other Lessons From Modern Life),David Mitchell,Philipp Goedicke,1,Beth,,,0,,,,,,,,,
Kitchens of the Great Midwest: A Novel,J. Ryan Stradal,Philipp Goedicke,1,Beth,,,,,,,,,,,,
The Art of Memoir,Mary Karr,Philipp Goedicke,1,Beth,,,1,,,,,,,,,
Hand Drawn Jokes for Smart Attractive People,Matthew Diffee,Philipp Goedicke,1,Beth,,,0,,,,,,,,,
"Cries for Help, Various: Stories",Padgett Powell,Philipp Goedicke,1,Beth,,,0,,,,,,,,,
The Girl on the Train,Paula Hawkins,Philipp Goedicke,1,Beth,,,1,,,,,,,,,
"Percival Everett, Half an Inch of Water",Percival Everett,Philipp Goedicke,1,Beth,,,0,,,,,,,,,
Satin Island: A novel ,Tom McCarthy,Philipp Goedicke,1,Beth,,,0,,,,,,,,,
Intimacy Idiot,Isaac Oliver,Anya Kamenetz,0,Nicole,,0,0,,,,,,,Let's Talk About Sex,,
I Know How She Does It: How Successful Women Make the Most of Their Time,Laura Vanderkam,Anya Kamenetz,1,Nicole,,0,1,,,,,,,Eye-Opening Reads,,
A God in Ruins,Kate Atkinson,Ari Shapiro,0,Nicole,,0,1,,,,,,,,,"Buy a house in East London today, and a realtor may warn you that the foundation is uneven because of bomb damage from World War 2. British people have a more personal relationship to the second World War than most Americans do. That immediacy comes through vividly in Kate Atkinson’s novel, A God In Ruins. Her main character, Teddy, is a heroic fighter pilot, whose exploits feel more harrowing than heroic. It’s Atkinson’s second book exploring the same family, after her virtuosic 2013 novel, Life After Life. We should be so lucky to get a third. "
Hold Still: A Memoir with Photographs,Sally Mann,Ariel Zambelich,0,Nicole,,,1,,,,,,,,,
A Little Life: A Novel,Hanya Yanagihara,Audie Cornish,0,Nicole,,1,,,,,,,,,,"At nearly 800 pages A Little Life feels like it’s telling the story of its New York foursome in real time – over takeout, at parties, in dinners that end in arguments. It’s most moving when author Hanya Yanagihara lets us live long stretches with the character of Jude -- a survivor of child abuse. The book doesn't shy away from those horrors or the physical and emotional pain endured to overcome them. And it’s not afraid to show how his friends love him, care for him and sometimes let him down."
Delicious Foods: A Novel,James Hannaham,Audie Cornish,0,Nicole,,1,,,,,,,,,,Delicious Foods starts where some other books might end. Its hero – Eddie – is a bloodied survivor. The book tells us how he got there. Through the corrupt farm where he and other unlucky job seekers end up trapped and treated like modern day slaves. And it’s a bittersweet story of a young man and his drug addled mother -- a woman who careens through life -- despite his best efforts to hold on. 
The Seven Good Years: A Memoir,Etgar Keret,Becky Sullivan,0,Nicole,,0,0,,,,,,,,,
Fatherland: A Family History,Nina Bunjevac,Becky Sullivan,0,Nicole,,0,1,,,,,,,,,
The Vilna Vegetarian Cookbook: Garden-Fresh Recipes Rediscovered and Adapted for Today's Kitchen,Fania Lewando,Beth Novey,0,Nicole,,0,1,,,,,,,,,
"The Marriage Book: Centuries of Advice, Inspiration, and Cautionary Tales from Adam and Eve to Zoloft",Lisa Grunwald and Stephen J. Adler,Beth Novey,0,Nicole,,0,,,,,,,,,,
Around the Clock ,Roz Chast,Beth Novey,,Nicole,,0,1,,,,,,,,,
The Water Knife: A novel,Paolo Bacigalupi,Brian Boyer,0,Nicole,,0,0,,,,,,,,,
"Dylan Goes Electric!: Newport, Seeger, Dylan, and the Night That Split the Sixties",Elijah Wald,Cheryl Devall ,0,Nicole,,0,0,,,,,,,,,"Every folk music lover thinks s/he knows what happened July 25, 1965 at the Newport Folk Festival when a scruffy, much-loved American protest singer whipped out a Stratocaster. What followed rivals the 1913 premiere of Stravinsky’s “Rite of Spring” in the annals of musical disruption. Fortunately, cultural historian Wald wasn’t content to let sleeping legends lie. Wald revisits the infamous concert set through contemporary accounts (including pages from one fan’s scrapbook) and interviews with surviving participants. The result leaves those of us who weren’t there wishing we had been. It’s rollicking, poignant and fun."
Katrina: After the Flood,Gary Rivlin,Cheryl Devall ,0,Nicole,,0,0,,,,,,,Eye-Opening Reads,,"Investigative reporters have long followed this rule from Woodward and Bernstein’s Watergate playbook: “Follow the money.” Rivlin applies that dictum to power, politics and planning in New Orleans before and after the infamous 2005 deluge. With its focus on the central role of black-owned Liberty Bank in the development of areas inhabited largely by New Orleans’ African American professional class, the book offers a strong, infuriating argument that Katrina was a catastrophe decades in the making, abetted by the powers that be on the local, state and national level. The narrative includes heroes, too: Liberty’s chief executive Alden McDonald, the publishers of the monthly New Orleans Tribune and the endearingly bourgeois, resourceful and indomitable Wall sisters Petie, Contesse, Cassandra and Tangee.  "
Between the World and Me,Ta-Nehisi Coates,Cheryl Devall ,0,Nicole,,1,0,,,,,,,,,"This volume – conceived as a letter from the author to his son, Samori – punches way above its weight as provocation and analysis. As in his Polk Award-winning article for The Atlantic, “The Case for Reparations,” this book intends to unsettle complacency with research and bracing rhetoric. Its central question: “How do I live free in this black body?” is far less haunting, Coates argues, than the ever-fresh episodes of violence against black bodies that made possible this nation that prides itself on its striving toward “a more perfect union.” In beautiful prose, Coates bequeaths to his child the clear-eyed approach of his parents, “who never tried to console me with ideas of an afterlife and were skeptical of preordained American glory.” Those gifts, he maintains, make it possible for him to pose unanswerable questions without fearing the consequences. Some readers may regard his conclusions as grim; others are likely to find them liberating. Discuss among yourselves."
The Big Green Tent: A Novel,Ludmila Ulitskaya,Colin Dwyer,0,Nicole,,,1,,,,,,,"Tales From Around The World, Rather Long, Seriously Great Writing",,
The Dirty Dust,Máirtín Ó Cadhain,Colin Dwyer,0,Nicole,,,0,,,,,,,"Tales From Around The World, Seriously Great Writing",,
Undermajordomo Minor: A Novel,Patrick deWitt,Colin Dwyer,0,Nicole,,0,0,,,,,,,,,
Lafayette in the Somewhat United States,Sarah Vowell,Colin Dwyer,0,Nicole,,,1,,,,,,,"For History Lovers, Funny Stuff, Book Club Ideas",,
The Red Web: The Struggle Between Russia’s Digital Dictators And The New Online Revolutionaries,Andrei Soldatov and Irina Borogan,Corey Flintoff,0,Nicole,,0,,http://www.npr.org/people/2100491/corey-flintoff,"correspondent, International Desk",1610395735,,,,Eye-Opening Reads,,"The Red Web is an exploration of how the Russian state uses the internet as a tool for surveillance and cyber-aggression, at the same time dissidents are trying to use it as a channel for free expression.  It reads like a spy novel, and there’s a lot of fascinating history about the state campaign to control the web, from Soviet times to today.  It’s a great piece of investigative reporting."
The Wright Brothers,David McCullough,Edith Chapin,0,Nicole,,0,0,,,,,,,,,"Most school kids know that Wilbur and Orville Wright were the first to fly a mechanized plane. Their story is so much more than that simple fact as David McCullough lays out in his typical crisp and compelling style. The brothers were an unlikely  pair,  complementing each other at every stage and thriving in their insular world. Their sister Katherine was instrumental in their success in many ways and she too took to the skies. More than a century later the Wright family trials and successes are as captivating as if they took place last year."
Secrets of State,Matthew Palmer,Edith Chapin,0,Nicole,,0,0,,,,,,,,,"In his second novel Matthew Palmer plunges into the murky world of Washington consulting firms full of former insiders who have trouble giving up their stock in power and influence. The story revolves around suspicions of fake intelligence to provoke India and Pakistan to up their nuclear rivalry. Conspiracy theorists will enjoy the shadowy world of The Stoics, a secret group of government bureaucrats dating back to the early days of the republic who are determined to reshape the world by circumventing official policy. The story is so captivating you can’t help but wonder if it might be slightly plausible after all."
The New Tsar: The Rise and Reign of Vladimir Putin,Steven Lee Myers,Edith Chapin,0,Nicole,,0,0,,,,,,,,,"If you are perplexed and intrigued by the enigmatic Vladimir Putin, you’ll want to read this biography. You’ll get a better understanding behind and beyond the stereotypes of the workaholic leader driven by the humiliation and chaos of the collapse of the Soviet Union. Reserved and suspicious by nature, Putin is determined to project Russia as a great power and to unify the country with him at its center. His motivations from Chechnya to the Olympics to Ukraine to Syria are a lot clearer thanks to Myers’ detailed reporting."
Under the Udala Trees,Chinelo Okparanta ,Elizabeth Baker,0,Nicole,,1,1,,<em>Weekend All Things Considered</em> staff,544003446,441502390,,,,,
The Unmapped Sea (The Incorrigible Children of Ashton Place: Book V) AUDIOBOOK,Maryrose Wood,Emily Harris,0,Nicole,,0,1,,,,,,,,,"I never counted months to book publication until I finished listening to Book IV of the Incorrigible Children series and howled for more. Phrases like “op-too-much-istic” –hopeful in that way that sets the stage for perilous disappointment - from the droll, fantastic tale of children raised by wolves, mysteriously connected to the cursed Ashton family of Victorian-era estate life, guided through danger and artistic development by their sensible and endearing teenage governess have made it into my family’s everyday conversation. With spent children “draped over the furniture limp as empty coats,” and ominous encounters with Russian hat and beet nobility, finishing The Unmapped Sea left me counting again. "
Television Is the New Television: The Unexpected Triumph of Old Media In the Digital Age,Michael Wolff,Eric Deggans,0,Nicole,,0,0,,,,,,,,,
Spy Games,Adam Brookes,"Frank Langfitt - frank worked with the author in the 90s. ok, but he should mention it in the write-up",0,Nicole,,0,0,http://www.npr.org/people/4569077/frank-langfitt,"correspondent, International Desk",316399906,,,,,,"Adam Brookes is quickly becoming a first-rate author of international thrillers. The deft pacing of his second novel, Spy Games, kept me reading every free moment, including workday lunches and cab rides home.
What separates Brookes from many others in the genre is he knows his subject – China – intimately. (Disclosure: Brookes and I were colleagues when he served as a BBC correspondent in Beijing in the 1990s.) Brookes has ripped the plot of Spy Games from the headlines of a real-life Communist Party power-struggle and set it in London, Ethiopia, Hong Kong and a Chinese casino in the jungles of Myanmar. For an atmospheric tale of intrigue centered on the world’s rising super power, Brookes is your man.
"
On the Move: A Life,Oliver Sacks,Hannah Bloch,0,Nicole,,0,0,,,,,,,,,
Joan of Arc: A History,Helen Castor,Ina Jaffe,0,Nicole,,,0,,,,,,,,,"It turns out that 15th century France was Game of Thrones without the dragons. Helen Castor spends the first 89 pages of this biography setting up a world of blood and betrayal before Joan even makes her entrance. When The Maid finally wades into this political snake pit, her power to  move hearts and armies is both mysterious and astonishing. Castor never goes beyond the bounds of the documents and never succumbs to the modern impulse to psychoanalyze her heroine.  This Joan is a creature of her time: used, destroyed, and sanctified to serve the aims of the powerful. "
After Birth,Elisa Albert,Jessica Pupovac ,0,Nicole,,0,1,,<em>Morning Edition</em> staff,,,,,,,
Funny Girl,Nick Hornby,Jessica Reedy,0,Nicole,,,0,,,,,,,,,
The Penderwicks in Spring,Jeanne Birdsall,Justine Kenin,0,Nicole,,0,1,,,,,,,,,"Oh the Penderwicks! They’re the family you wish lived next door to you  in their creative, messy splendor. As with any series, I started reading The Penderwicks in Spring with nervous anticipation. Would we still like them? Would they be true to who we’ve grown to know? Yes and yes. And what we loved (I say we, because I read the book as I have all of the Penderwicks with my twin daughters), was that Batty who has charmed us from the start got to come of age and we saw the oldest, Rosalind, off to college. Jeanne Birdsall has given us the gift of sisterly love again."
Pool,Jihyeon Lee,Justine Kenin,0,Nicole,,1,,,,,,,,,,"Pool by JiHyeon Lee is a gorgeous fantasy. It’s a wordless picture book that takes readers and the two protagonists away from an overly crowded pool to a world far below where they frolic with wondrous sea creatures big and small. The colored pencil & oil pastel drawings are so engaging and playful and warm  that they do the thing the best books do keep your eyes roving the pages for little treasures.   Since Pool is Lee’s first book, I can’t wait to see what she creates next."
"Single, Carefree, Mellow: Stories",Katherine Heiny ,Justine Kenin,0,Nicole,,0,1,,,,,,,,,"Be ready to laugh and hoot and buy Katherine Heiny’s story collection --  Single, Carefree, Mellow -- for all your girlfriends, but probably not your mother-in-law.   Each story doles out gems that are so authentic and outrageous you want to read them out loud to your sister over the phone, like the opening lines of the story “Blue Heron Bridge” – “The worst thing about the affair, Nina thought, was that it made her so impatient with the children. She had not thought that would be the worst part. She thought the guilt would be the worst thing, or the stress of constant deception, or falling out of love with her husband, or some awful day of reckoning, but so far none of these things had happened. Only the impatience.”  "
Waiting ,Kevin Henkes,Justine Kenin,0,Nicole,,0,0,,,,,,,,,"Kevin Henkes is an amazing author.  His range of skill from picture books to young adult novels is without match.  So it’s no surprise that his latest picture book, Waiting, is so terrific.  The dance of words and pictures is subtle and simple and clever and rewards the careful observer.  A collection of toys sits in a windowsill– without a child in the picture, which lets the reader play that role.  Perfect for night after night after night of reading and re-reading like any great picture book."
Goodbye Stranger,Rebecca Stead,Justine Kenin,0,Nicole,,0,1,,,,,,,,,"The structure of Goodbye Stranger and the respect author, Rebecca Stead, gives her main characters drive this amazing book.  It centers on a group of girlfriends entering middle school, how they define and redefine themselves, determined to stick together.  Scenes with these girls cut to scenes of an older girl, who remains a mystery for much of the book, but whose world overlaps the younger girls.  It’s a funny and warm page turner that challenges conventional wisdom about mean girls and social media."
"Listen, Slowly",Thanhhà Lại,Justine Kenin,0,Nicole,,1,,,,,,,,,,"Listen, Slowly is a sort of reverse migration-adventure-coming of age story.  A middle school girl from California, Mai, whose parents and grandparents are from Vietnam, spends one summer back in her family’s home country – partly looking after her grandmother and partly helping her find out the truth about what happened to her grandfather during the Vietnam war.   Enjoy Thanhha Lai’s humor as she immerses  the reader and Mai in Vietnamese life."
The Light of the World: A Memoir,Elizabeth Alexander,Karen Grigsby Bates ,0,Nicole,,,1,,,,,,,,,
Palace of Treason: A Novel,Jason Matthews,Karen Grigsby Bates ,0,Nicole,,,0,,,,,,,,,
Marilyn's Monster,Michelle Knudsen and Matt Phelan,Lourdes Garcia-Navarro,0,Nicole,,,,,,,,,,,,"Marliyn has a problem -- her monster hasn't arrived. You are supposed to wait for your monster in Maryln's world and not go out looking for it. Marliyn decides to take matters into her own hands and strike out on her own in this lovely exciting tale for toddlers. Not a lot of books meant for kids have tension, work on multiple levels and whose drawings can endlessly fascinate but this book has it all. I just took it away for the weekend and we read it to kids as young as 3 and as old as 9 and they all asked for it again. The takeaways for me were you sometimes have to push boundaries to get what you want and also monsters aren't that scary if they need to be rescued. SPOILER ALERT : Marliyn does find her monster. Added bonus : it's great for boys and girls but it has a spunky female heroine. "
A Spool of Blue Thread: A novel ,Anne Tyler,Lynn Neary,0,Nicole,,,1,,,,,,,,,
Get in Trouble: Stories,Kelly Link,Lynn Neary,0,Nicole,,,1,,,,,,,,,
Fates And Furies: A Novel,Lauren Groff,Lynn Neary,0,Nicole,,,1,,,,,,,,,
Loving Day: A Novel,Mat Johnson,Lynn Neary,0,Nicole,,,0,,,,,,,,,
A Strangeness in My Mind: A novel,Orhan Pamuk,Lynn Neary,0,Nicole,,,0,,,,,,,,,
Nimona ,Noelle Stevenson,Mallory Yu,0,Nicole,,,1,,,,,,,,,
"Kim Jong-Il Production: The Extraordinary True Story of a Kidnapped Filmmaker, His Star Actress, and a Young Dictator's Rise to Power",Paul Fischer,Meghan Keane,0,Nicole,,,0,,,,,,,,,"In the late 70's, South Korea's top director and his star actress are kidnapped and shipped to North Korea, where they are forced to create films for the satisfaction of the Hollywood obsessed Kim Jong-Il. Together, the pair plot their escape after years of propaganda films, bizarre dinner parties and excruciating torture. This book reads so much like a thriller, that sometimes you have to stop and remind yourself it's completely true. Fischer gives a fascinating look inside the manic imagination of Jong-Il and the tenacity of two people who found themselves in a situation right out of a movie.  "
We Were Brothers,Barry Moser,Michel Martin ,0,Nicole,,,0,,,,,,,,,
The Jemima Code: Two Centuries of African American Cookbooks,Toni Tipton-Martin,Michel Martin ,0,Nicole,,,1,,,,,,,,,
Showdown: Thurgood Marshall and the Supreme Court Nomination That Changed America, Wil Haygood,Michele Norris,0,Nicole,,,0,,,,,,,,,
Blackout: Remembering the Things I Drank to Forget,Sarah Hepola,Nancy Shute,0,Nicole,,,1,,,,,,,"Biography & Memoir, Book Club ideas, Eye-Opening Reads, Let’s Talk About Sex, The Dark Side",,
NeuroTribes: The Legacy of Autism and the Future of Neurodiversity,Steve Silberman,Nancy Shute,1,Nicole,,,0,,,,,,,"Book Club ideas, Eye-Opening Reads, It’s All Geek To Me, Rather Long, Science and Society",,
H Is for Hawk,Helen Macdonald,Neda Ulaby,0,Nicole,,,1,,,,,,,,,
The Meursault Investigation,Kamel Daoud,Neda Ulaby,0,Nicole,,,,,,,,,,,,
"It All Dies Anyway: L.A., Jabberjaw, And The End Of An Era",Bryan Ray Turcotte,Nina Gregory,0,Nicole,,,0,http://www.npr.org/people/348780107/nina-gregory,"editor, NPR Arts, Culture & Books ",847839966,,,,,,
Ann Tenna: A novel,Marisa Acocella Marchetto,Nina Gregory,0,Nicole,,,1,,,,,,,,,
Midnight's Furies: The Deadly Legacy of India's Partition,Nisid Hajari,Nishant Dahiya,0,Nicole,,,,,,,,,,,,
The Fishermen: A Novel,Chigozie Obioma,Ofeibea Quist-Arcton,0,Nicole,,,,http://www.npr.org/people/4513318/ofeibea-quist-arcton,"correspondent, International Desk",316338370,399592844,,,,,
Uprooted ,Naomi Novik,Ravenna Koenig,0,Nicole,,,1,,,,,,,"Kid’s Books, Love Stories, The Dark Side",,
"Strangers Drowning: Grappling with Impossible Idealism, Drastic Choices, and the Overpowering Urge to Help",Larissa MacFarquhar,Rebecca Hersher,0,Nicole,,,1,,,,,,,,,
Last Stop on Market Street,Matt de la Pena Christian Robinson,Rebecca Hersher,0,Nicole,,,0,,,,,,,,,
Habitat: The Field Guide To Decorating,Lauren Liess,Sarah Handel,0,Nicole,,,1,,,,,,,,,
Girl Waits With Gun,Amy Stewart,Shannon Rhoades,0,Nicole,,,1,,<em>Morning Edition</em> staff,544409914,,,436386260,,,"I don't particularly like to laugh when I read -- I'd happily have my nose in a crime book at all times -- but I read this entire novel with a smile on my face.  Amy Stewart resurrects a very real heroine from history.  In 1914 New Jersey, Constance Kopp dared to pursue justice for herself and her sisters.  The story is set in motion by what must have been pretty common back then -- horse buggy versus car accident.  The adventures that follow are anything but mundane and set Constance on a path to becoming one of the first female deputy Sheriffs in the U.S.  And how I smiled when I found out this is the first of a trilogy!"
The Tsar of Love and Techno: Stories,Anthony Marra,Shannon Rhoades,0,Nicole,,0,0,,<em>Morning Edition</em> staff,770436439,,,444226148,,,"Where to begin to try to explain this book of short stories?  First, it reads like a novel.  Second, you will never doubt that Anthony Marra is in charge.  I began to imagine him standing before a giant bulletin board of timelines, maps, character bios -- like some God-like puppeteer, moving everything into place exactly as he wanted it.  The book covers a vast swath of Russian history, from 1930s Leningrad to modern day.  It is simultaneously tragic, absurd, and poignant.  The last story is his only overreach, but it doesn't matter.  All you really need to know is that you should read this book."
My Sunshine Away,M.O. Walsh,Shannon Rhoades,0,Nicole,,,,,,,,,,,,"A close-knit neighborhood in Baton Rouge, Louisiana is forever changed after a teenaged girl is attacked ""in the dark turn beneath the first busted streetlight in the history of Piney Creek Road.""  As I started this novel, I thought, do I need another girl in peril story written by a man from the point of view of a man?  The writing, stewed in secrets and southern humidity, pulled me in though.  And then something happened at the end, which made me want to pull the reading equivalent of a U-turn, to double back and reread from the very beginning."
The Battle of Versailles: The Night American Fashion Stumbled into the Spotlight and Made History,Robin Givhan,Shannon Rhoades,0,Nicole,,,1,,,,,,,,,"You know that cliché about history ""coming alive?""  Well, in the hands of Pulitzer Prize-winning fashion critic Robin Givhan, this history really does come alive.  On a chilly November night back in 1973, five American designers went toe-to-toe, dress-to-dress, with five French designers in one legendary fashion show.  Seemingly, it was a fundraiser for the restoration of the Place of Versailles.  Lift the hemline just a smidge though, and there is so much at play here -- race, gender, the new world pushing up against the old.  If you're tempted to dismiss this as simply fashion history, don’t."
"In a Dark, Dark Wood",Ruth Ware,Shannon Rhoades,0,Nicole,,,1,,,,,,,,,"Home sick with a brain-numbing flu bearing down, I was unable to put this book down.  A crime writer wakes with amnesia and the sinking feeling that she has done something bad.  Then the story shifts to a group of twenty-somethings gathered at a remote English country home for a ""hen"" or bachelorette party.  There will be murder.  There will be delightful tips of the pen to Agatha Christie.  You will probably sniff out who is to blame -- but only when you're within striking distance of the end -- and in no way will that spoil the fun."
Descent: A Novel ,Tim Johnston,Shannon Rhoades,0,Nicole,,,0,,,,,,,,,"The first book I read in 2015 was also my favorite.   In a comfy chair in my parents’ living room, with a picture window view of fog and tree skeletons:  I found a safe perch to read this very unsafe book.  18 year-old Caitlin goes missing on a family vacation in the Rocky Mountains.  A stoic father will remain behind, always looking.  An unlikable character will surprise you.  And there will be an ascent -- a drive up, up into the mountains through switchback turns and snow -- that is excruciatingly satisfying.  Long since a big 2015 thriller -- ""The Girl on the Train"" -- evaporated from my reading brain, I am still thinking about ""Descent"".  "
The First Collection of Criticism by a Living Female Rock Critic,Jessica Hopper,Tyler Fisher,0,Nicole,,,1,,,,,,,,,"This brilliant collection of music writing by Pitchfork senior editor Jessica Hopper strikes quickly with its direct, biting title. Thankfully, the book continues to challenge commonplace criticism throughout its duration. Compiling work ranging from 2002 to 2014, the book covers both the problematic treatment of female characters in mid-2000s emo lyrics and the abandonment of Christianity by one of Christian rock’s foremost heroes in mere pages. Music fans would struggle to find a more compelling series of essays anywhere."
The Arab of the Future ,Riad Sattouf,Etelka Lehoczky Maybe Eleanor Beardsley?,1,Nicole or Petra,,1,0,,,,,,,"Comics & Graphic Novels, Book Club Ideas, Family Matters, Tales from Around the World",,
Shadowshaper,Daniel Jose Older,Amal El-Mohtar,1,Petra,YA,1,0,,,,,,,,,
The Iremonger Trilogy,Edward Carey,Amal El-Mohtar,1,Petra,YA,0,0,,,,,,,,,
Collected Fiction,Hannu Rajaniemi,Amal El-Mohtar,1,Petra,SF,0,0,,,,,,,,,
Future Perfect,Jen Larsen,Amal El-Mohtar,1,Petra,YA,0,1,,,,,,,,,
The Just City,Jo Walton,Amal El-Mohtar,1,Petra,SF,0,1,,,,,,,,,
The Galaxy Game,Karen Lord,Amal El-Mohtar,1,Petra,SF,1,1,,,,,,,,,
The Grace of Kings,Ken Liu,Amal El-Mohtar,1,Petra,SF/F,1,0,,,,,,,,,
The Traitor Baru Cormorant,Seth Dickinson,Amal El-Mohtar,1,Petra,Fantasy,0,0,,,,,,,,,
Sorceror to the Crown,Zen Cho,Amal El-Mohtar,1,Petra,Fantasy,1,1,,,,,,,,,
The Last Taxi Ride,A.X. Ahmad,Bethanne Patrick,1,Petra,,1,0,,,,,,,,,
Orient,Christopher Bollen,Bethanne Patrick,1,Petra,,0,0,,,,,,,,,
Innocence,Heda Kovaly,Bethanne Patrick,1,Petra,,0,1,,,,,,,,,
Freedom's Child,Jax Miller,Bethanne Patrick,1,Petra,,0,1,,,,,,,,,
Leaving Berlin,Joseph Kanon,Bethanne Patrick,1,Petra,,0,0,,,,,,,,,
All the Old Knives,Olen Steinhauer,Bethanne Patrick,1,Petra,,0,0,,,,,,,,,
Second Life,S.J. Watson,Bethanne Patrick,1,Petra,,0,0,,,,,,,,,
Tiny Little Thing,Beatriz Williams,Bobbi Dumas,1,Petra,Romance,0,1,,,,,,,,,
Fever Pitch,Heidi Cullinan,Bobbi Dumas,1,Petra,Romance,0,1,,,,,,,,,
If You Only Knew,Kristan Higgins,Bobbi Dumas,1,Petra,Romance,0,1,,,,,,,,,
The Precious One,Marisa de los Santos,Bobbi Dumas,1,Petra,Romance,1,1,,,,,,,,,
Of Noble Family,Mary Robinette Kowal,Bobbi Dumas,1,Petra,Romance,0,1,,,,,,,,,
The Bollywood Bride,Sonali Dev,Bobbi Dumas,1,Petra,Romance,1,1,,,,,,,,,
When a Scot Ties the Knot,Tessa Dare,Bobbi Dumas,1,Petra,Romance,0,1,,,,,,,,,
Mosquitoland,David Arnold,Caitlyn Paxson,1,Petra,YA,0,0,,,,,,,,,
All the Bright Places,Jennifer Niven,Caitlyn Paxson,1,Petra,YA,0,1,,,,,,,,,
The Court of Fives,Kate Elliott,Caitlyn Paxson,1,Petra,YA,0,1,,,,,,,,,
The Walls Around Us,Nova Ren Suma,Caitlyn Paxson,1,Petra,YA,0,1,,,,,,,,,
Carry On,Rainbow Rowell,Caitlyn Paxson,1,Petra,YA,0,1,,,,,,,,,
Fig,Sarah Elizabeth Schwartz,Caitlyn Paxson,1,Petra,,0,1,,,,,,,,,
The Daughters,Adrienne Celt,Carmen Machado,1,Petra,,0,1,,,,,,,,,
The Blondes,Emily Schultz,Carmen Machado,1,Petra,,0,1,,,,,,,,,
The Wonder Garden,Lauren Acampora,Carmen Machado,1,Petra,,0,1,,,,,,,,,
The Small Backs of Children,Lidia Yuknavitch,Carmen Machado,1,Petra,,0,1,,,,,,,,,
After the Parade,Lori Ostlund,Carmen Machado,1,Petra,,0,1,,,,,,,,,
White Light,Vanessa Garcia,Carmen Machado,1,Petra,,1,1,,,,,,,,,
"Drawn & Quarterly: 25 Years of Contemporary Cartooning, Comics and Graphic Novels ",Drawn & Quarterly,Etelka Lehoczky,1,Petra,,0,,,,,,,,"Comics & Graphic Novels, Eye-Opening Reads, Rather Long",,
Hip Hop Family Tree vol. 3 ,Ed Piskor,Etelka Lehoczky,1,Petra,,0,0,,,,,,,"Comics & Graphic Novels, For History Lovers, For Music Lovers, For Art Lovers",,
The Story of My Tits,Jennifer Hayden,Etelka Lehoczky,1,Petra,,0,1,,,,,,,"Comics & Graphic Novels, Biography & Memoir, Book Club ideas, Family Matters",,
March Book 2,John Lewis,Etelka Lehoczky,1,Petra,,1,0,,,,,,,"Comics & Graphic Novels, Biography & Memoir, For History Lovers, Eye-Opening Reads",,
Bitch Planet vol. 1: Extraordinary Machine ,Kelly Sue DeConnick and Valentine De Landro,Etelka Lehoczky,1,Petra,,1,1,,,,,,,"Comics & Graphic Novels, The Dark Side, Science Fiction & Fantasy",,
